식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
북어채무침,28.4,2.91,12.05,5.59,188
샐러드_감자,1.31,7.99,12.25,3.75,126
샐러드_단호박,1.48,8.97,18.77,14.3,162
샐러드_닭가슴살,7.17,9.49,5.36,3.25,135
샐러드_새싹,2.77,4.81,4.96,2.26,74
샐러드_양배추,2.69,11.71,8.47,7.95,150
샐러드_양상추,4.91,10.3,3.42,1.58,126
샐러드_옥수수,1.96,11.94,12.68,6.01,166
샐러드_참치,10.82,8.65,7.52,6.91,151
샐러드_채소,1.16,13.35,5.1,4.72,145
양장피,7.3,6.63,10.95,0.44,133
오이무침_부추,1.95,0.39,5.01,4.15,31
오이생채,1.78,2.9,8.96,8.04,69
오이지무침,0.96,3.51,4.21,2.78,52
오징어무침_채소,5.85,0.93,7.6,5.54,62
오징어채무침,23.6,5.53,28.41,18.71,258
톳나물무침,1.87,2.09,12.28,6.94,75
파래무침,3.53,1.7,4.97,1.73,49
파무침,2.25,2.81,9.08,8.02,71
풋고추된장무침_풋고추,2.37,7.35,12,8.43,124
풋마늘무침,4.14,1.04,11.27,5.95,71
피조개무침,4.71,0.95,6.07,3.72,52
해초무침,0.95,0.16,8.52,3.95,39
회무침,8.09,1.65,8.6,4.53,82
회무침_가오리,11.33,1.16,6.35,5.47,81
돌나물무침,1.66,3.18,8.3,5.26,69
고들빼기김치,3,1.38,11.52,4.4,71
깍두기,1.56,1.06,4.24,2.54,33
깻잎김치,2.82,1.72,8.92,4.04,62
나박김치,0.46,0.38,1.15,0.34,10
동치미,0.29,0.37,2.28,1.45,14
물김치_돌나물,0.31,0.08,0.75,0.35,5
보쌈김치,2.19,0.72,3.73,1.69,30
부추김치,2.68,1.16,6.36,4.08,47
얼갈이배추김치,1.59,1.45,10.94,0.38,63
오이김치,2.06,0.8,5.64,2.37,38
가자미식해,11.09,4.81,11.64,3.71,134
갈치젓_양념,15.53,5.08,10.28,4.91,149
멸치젓_양념,11.4,1.6,7.4,0.6,90
새우젓_양념,7.1,1.8,6,0.5,69
오징어젓_양념,10.1,0.7,3.4,2.4,60
꽃게장_간장,7.02,1.1,6.04,4.21,62
꽃게장_양념,10.23,0.61,12.61,8.77,97
단무지,0.33,0.2,2.4,0.47,13
더덕장아찌,4.47,0.89,28.9,15.38,141
매실장아찌_우메보시(일본),1.27,1.77,11.03,7.87,65
무짠지,0.54,0.12,1.98,1.58,11
무초절임(치킨무),0.52,0.3,3.05,1.75,17
오이장아찌,0.36,0.28,2.54,1.04,14
오이지,0.74,0.72,2.84,0,21
미숫가루,2.08,2.27,10.42,0,70
육회,9.93,6.43,8.12,5.29,130
리소토/리조또_스파이시 씨푸드 리조또,5.81,,,2.49,148
리소토/리조또_치킨 크림 리조또,6.22,,,1.66,185
볶음밥_갈비천왕 치즈 치밥,10.97,,22.04,2.57,208
볶음밥_달걀듬뿍 볶음밥,5.38,,,0.75,170
볶음밥_닭갈비 볶음밥,5,,,4,180
볶음밥_볼케이노 치즈 치밥,12.81,,20.66,2.83,198
볶음밥_의성마늘 볶음밥,3.41,,,0.31,199
오므라이스_수플레 오믈렛 라이스,4.94,,,2.47,167
주먹밥_까르보나라 구운주먹밥,6,,,2,211
주먹밥_매콤 로제 구운주먹밥,5,,,3,209
감자빵_강원도알감자빵 (5개입),3.13,,,5,244
감자빵_강원도알감자빵,3.13,,,6.25,250
감자빵_감자쫀득볼,3.95,,,15.18,313
감자빵_못난이 감자크럼볼,1.33,,45.33,9.33,211
감자빵_포슬쫀득 감자빵,3.64,,,4.55,284
건포도빵_건포도빵 (대),7.53,,,9.25,311
건포도빵_건포도빵 (소),7.76,,,9.48,310
건포도빵_우리쌀건포도브레드,6,,,9.33,265
계란빵_쌀계란빵,2,,,18,313
계란빵_트윈에그 브레드,11.21,,,5.61,248
기타빵_밤이랑고구마랑,7,,,7,315
기타빵_별님고구마,6,,,6,258
기타빵_춘천 감자빵,5,,,2.5,245
기타빵_까눌레,6,,,22.5,339
기타빵_달콤촉촉 고구마빵,1.82,,,18.18,273
기타빵_롤링넛츠,6,15.9,40.4,9.1,329
기타빵_씨앗가득고소함이찰떡,8,,,14.8,358
기타빵_얼그레이 까눌레,4.44,,,24.44,222
기타빵_오리지널 까눌레,4.44,,,24.44,222
기타빵_우리쌀 막걸리로 만든 초당옥수수빵,4.85,0.79,44.85,13.33,206
기타빵_카라멜아몬드,10.7,24.9,45.8,12.1,450
기타빵_톡톡쫄깃 옥수수빵,5,,,15,299
깨찰빵_깨찰빵,4,,,4,302
깨찰빵_깨찰빵,4.17,,,4.17,375
깨찰빵_씨앗찰빵,6,,,16,366
깨찰빵_쫀득쫀득한찰깨빵 (2개입),3.64,12.73,63.64,7.27,373
깨찰빵_쫀득쫀득한찰깨빵,3.64,12.73,63.64,7.27,373
깨찰빵_쫀득한모카찰깨빵,4.29,,,11.43,357
도넛_고구마품은 꽈배기,5.71,,,11.43,339
도넛_골드초코 허니비 도넛,6.41,,,23.08,479
도넛_글레이즈드 사워크림 도넛,2.5,,,35,420
도넛_글레이즈드 초콜릿 케익 도넛,3.75,,,33.75,410
도넛_글레이즈츄잉스타,1.92,,,11.54,404
도넛_기라델리민트초코링 도넛,5.56,,,23.61,388
도넛_깨찰 도넛,3.57,,,3.57,384
도넛_깨찰 도넛,4.44,,,6.67,444
도넛_뉴욕 치즈케익 도넛,5.56,,,20,369
도넛_뉴패스트리 도넛,6.12,,,14.29,408
도넛_다크초코링도넛,6.15,24.62,46.15,15.38,469
도넛_다크초코츄잉스타,3.7,27.78,38.89,9.26,444
도넛_단팥도너츠,8.75,,,16.25,304
도넛_단팥품은 꽈배기,6.09,,,20,330
도넛_달콤한 꿀도넛,5.71,10.29,60,8.57,343
